name,country.etc,2007_4,2008_4,2009_4,2010_4,2011_4,2012_4
New York,NY,269.22,251.08,239.85,237.24,225.52,226.17
Los Angeles,CA,244.3,182.43,180.86,174.84,167.11,186.08
Chicago,IL,232.63,206.76,189.32,178.66,163.94,167.5
Houston,TX,198.18,196.69,202.08,201.1,201.73,225.27
DC,DC,254.44,209.23,225.04,222.71,227.74,246.01
Dallas,TX,172.69,172.55,173.57,166.86,168.01,182.35
San Francisco,CA,273.15,234.71,231.44,227.03,224.1,246.34
Philadelphia,PA,237.65,229.63,231.83,223.39,208,223.71
Boston,MA,248.79,232.94,236.03,231.14,225.8,234.3
Atlanta,GA,193.42,170.58,166.05,144.15,143.78,159.16
Tampa,FL,274.97,207.29,193.24,181.72,176.94,194.42
Miami,FL,399.44,264.73,231.48,225.06,219.12,252.42
Seattle,WA,300.1,267.28,250.02,227.9,208.51,240.22
Minneapolis,MN,249.01,219.17,211.74,198.37,193.18,211.22
Detroit,MI,171.81,133.37,124.45,119.81,114.69,134.69
Phoenix,AZ,304.32,220.54,192.23,164.29,167.72,212.4
San Diego,CA,250.25,197.81,198.9,200.91,189.07,212.16
San Jose,CA,278.01,210.92,218.28,206.21,213.06,238.13
Denver,CO,273.29,259.93,269.67,275.7,266.86,298.2
Baltimore,MD,267.12,233.72,227.32,215.55,212.73,217.61
Saint Louis,MO,208.54,194.58,195.76,181.38,175.12,186.6
Portland,OR,337.52,304.84,289.61,266.32,256.33,277.14
Charlotte,NC,195.79,185.17,183.1,175.14,167.69,169.88
Pittsburgh,PA,181.53,177.48,184.3,187.07,191.56,198.72
Kansas City,KS,197.41,187.03,184,168.03,169.48,177.5
